ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.55098383069,5528.9459074425085,23829.7808345147
2014-02-28,5778.6508331609075,-3282.6446301699148,15506.57137420168
2014-03-31,41875.53924752932,32389.86999390029,50225.07921500144
2014-04-30,25662.62128692329,16057.123595379386,33961.28025937314
2014-05-31,25711.964323167107,16299.700879204263,34399.68525624466
2014-06-30,26711.789135200997,17006.87644759707,35879.3295807952
2014-07-31,26438.19426566804,17479.847066843235,35715.0812083122
2014-08-31,30856.688534547626,20790.190210106037,40463.88872770731
2014-09-30,67620.93155913173,58856.75970770827,77023.69178272388
2014-10-31,36077.50434361773,26599.812410275164,45647.48745180656
2014-11-30,78301.3868299936,68631.07740062586,86956.4690722127
2014-12-31,69991.5187612395,59949.09884574527,79146.47932333587
2015-01-31,18738.336887528196,9285.37602743323,28025.589556473406
2015-02-28,13880.831822181186,5016.970596688755,23385.59116532715
2015-03-31,49598.83133681748,40006.17882288515,59665.25796183831
2015-04-30,34575.92268591799,24936.598127454294,43405.66810017222
2015-05-31,26387.6574946234,17271.100656640254,35657.492977476475
2015-06-30,31085.988086595105,20892.687871958256,39962.5354643713
2015-07-31,33255.78933378847,24887.532853885143,42702.294025797244
2015-08-31,40664.3971039778,31458.99436877865,49974.63779874575
2015-09-30,76491.8894533875,67146.65853188171,86021.59738883072
2015-10-31,35984.306770699804,26756.732389304638,46106.81141238611
2015-11-30,86921.2435485156,77327.25473394145,96300.63150086514
2015-12-31,75920.5514785749,66104.00510056227,84834.01056084271
2016-01-31,23165.288927454323,14038.407214910194,32735.2085214316
2016-02-29,14902.1907187277,5424.720792461554,23780.78285347801
2016-03-31,51724.015498077606,42007.809687354464,60753.8492010876
2016-04-30,33016.19322727104,23259.362401106362,41971.01351034532
2016-05-31,49868.2716391935,40566.69010232356,58919.49599608719
2016-06-30,44187.752325149515,34776.90716948458,53502.14156654251
2016-07-31,39287.721939300405,29707.59890446026,48506.27020512448
2016-08-31,37700.41540232349,27742.614330342076,46934.625346081266
2016-09-30,75996.5401130575,66147.48305178713,85605.34499051249
2016-10-31,62955.95813150368,53448.91009308384,71581.87962481474
2016-11-30,88181.84994727826,78417.29633574722,97395.8062775011
2016-12-31,85608.06709794284,76251.83846889363,94543.25146139586
2017-01-31,38211.25041341959,29063.176110947366,47640.730929582634
2017-02-28,25246.80225727714,15743.388123399249,34634.71524255041
2017-03-31,61846.2111071961,52992.509296047625,70900.81394126356
2017-04-30,44535.8989802118,34771.21448493182,53893.777998335936
2017-05-31,53069.883019196626,43619.84348668492,62649.540756242364
2017-06-30,50739.93078613384,41483.99632929173,60640.58336451669
2017-07-31,48243.23962428677,39407.42821271173,57674.994578493766
2017-08-31,49797.26045098822,40432.34610840036,59412.467951404265
2017-09-30,87518.4803844934,78003.96211051027,96141.40992276055
2017-10-31,65271.21414094377,56067.683091074905,74713.74198017958
2017-11-30,99056.46947099977,90201.66384713007,108055.63733951014
2017-12-31,93756.91393915174,84705.54647155433,103687.96453077384
2018-01-31,44491.106008487375,35582.294870380596,53736.99974233501
2018-02-28,35661.33916452223,26215.730946393294,44886.406387181705
2018-03-31,71959.87516606724,62744.202203721994,80706.99039175877
2018-04-30,55942.10003179582,46103.50387238547,64546.8130960672
2018-05-31,56193.09065460008,47611.93264124557,64807.44065537516
2018-06-30,57388.05828992694,48366.32116363121,66208.09960313606
2018-07-31,57316.11100448041,48552.81129133471,66887.9663906673
2018-08-31,61936.25285738923,52511.843106939334,70888.92222057321
2018-09-30,98895.63870645038,89689.8173109969,108025.52267414234
2018-10-31,67553.85907633438,57783.40670167234,77147.28164205179
2018-11-30,109972.88438330585,100195.92395015723,118342.89655964031
2018-12-31,101864.6638978995,93218.22063436636,111013.45091401345
